FID,name_landmark,ชื่อสถานที่สำคัญ,ที่อยู่
167,BAN KAMALA SCHOOL,โรงเรียนบ้านกมลา,ถนนริมหาด
168,MUSJID PHADUNG SAT,มัสยิดผดุงศาสน์,ถนนรพช. ภก. 3019 (บ้านหัวควน)
169,MUSJID BAN KAMALA,มัสยิดบ้านกมลา,ถนนนาควน
170,MAHA MADIYA SCHOOL,โรงเรียนมหัหมาดียะห์,ถนนบางหวาน
171,MUSJID KAMALA,มัสยิดกมลา,ถนนบางหวาน
172,KAMALA BAY RESORT,โรงแรมกมลาเบย์เทอเรสรีสอร์ท,ถนนริมหาด
173,SHELL SERVICE STATION,สถานีบริการน้ำมันเชลล์,ทางหลวงแผ่นดินหมายเลข 402
174,MU BAN CHONG RAK,หมู่บ้านจงรักษ์,ทางหลวงแผ่นดินหมายเลข 402
175,WAT RATSADARAM,วัดรัษฎาราม,ทางหลวงแผ่นดินหมายเลข 402
176,BAN SAPAM MONGKHON WITTHAYA SCHOOL,โรงเรียนบ้านสะปำมงคลวิทยา,ทางหลวงแผ่นดินหมายเลข 402
177,MU BAN NAKA WANNA,หมู่บ้านนาคาวันนา,ทางหลวงแผ่นดินหมายเลข 4233
178,LAEM YOM DUNG,แหลมยมดึง,ถนนโยธาธิการ ภก. 2028 (บ้านลายิ-บ้านนาคาเล)
179,KO MA PHRAO YAI,เกาะมะพร้าวใหญ่, 
180,MUSJID KAMALIYA LAEM HIN,มัสยิดกามาลียะห์แหลมหิน,ถนนรพช. ภก. 4038 (บ้านแหลมหิน-ท่าเทียบเรือประมง)
181,ISLAHUDEEN MOSQUE,มัสยิดอิสลาฮดดีน,ถนนโยธาธิการ ภก. 2008 (บ้านทุ่งคา-บ้านสะปำ-บายพาส)
182,MU BAN SING THONG THANI,หมู่บ้านสิงห์ทองธานี, 
183,KALHIM BEACH,หาดกะหลิม,ถนนโยธาธิการ ภก. 2028 (บ้านลายิ-บ้านนาคาเล)
184,PHUKET HIGHWAY DEPOT,หมวดการทางภูเก็ต,ทางหลวงแผ่นดินหมายเลข 402
185,MU BAN PHOEM SAN THANI,หมู่บ้านเพิ่มสันธานี,ทางหลวงแผ่นดินหมายเลข 402
186,WAT TON CHUEK BAN MAI RIAP COMMUNITY SCHOOL,โรงเรียนชุมชนวัดต้นเชือกบ้านไม้เรียบ, 
187,MU BAN WARANI BYPASS,หมู่บ้านวรานีย์บายพาส,ทางหลวงแผ่นดินหมายเลข 402
188,BAN THUNG KHA SCHOOL (BUNYA KHACHON PRACHA A-SA),โรงเรียนบ้านทุ่งคา (บุณยขจรประชาอาสา),ถนนประชาอุทิศ
189,ESSO SERVICE STATION,สถานีบริการน้ำมันเอสโซ่,ทางหลวงแผ่นดินหมายเลข 402
190,MU BAN CHIRAWADI,หมู่บ้านจิราวดี,ถนนประชาอุทิศ
191,MU BAN THORANI THONG,หมู่บ้านธรณีทอง,ถนนรพช. ภก. 4057 (บ้านชีเหล้า)
192,WAT KATHU,วัดกะทู้,ทางหลวงท้องถิ่น (บ้านกะทู้-บ้านสามกอง)
193,SWEET HOME BED&BREAKFAST,โรงแรมสวีทโฮมเบคแอนด์เบรคฟาสท์,ทางหลวงแผ่นดินหมายเลข 4233
194,KALIM ELEPHANT TREKS TOUR,ลานช้างกะหลิม,ทางหลวงแผ่นดินหมายเลข 4233
195,PHUKET BUTTERFLY GARDEN AND AQUARIUM,สวนผีเสื้อและโลกทะเลภูเก็ต, 
196,MU BAN PHUKET HOPELAND,หมู่บ้านภูเก็ตโฮปแลนด์,ทางหลวงท้องถิ่น (บ้านกะทู้-บ้านสามกอง)
197,MU BAN SI SUCHAT GRAND VIEW,หมู่บ้านศรีสุชาติแกรนด์วิว,ถนนประชาอุทิศ
