FID,name_landmark,ชื่อสถานที่สำคัญ,ที่อยู่
416,PATONG BEACH HOTEL,โรงแรมป่าตองบิชโฮเต็ล,ถนนนาใน
417,METROPOLE HOTEL PHUKET,โรงแรมเมโทรโพลภูเก็ต,ถนนมนตรี
418,WAT KO SIRE,วัดเกาะสิเหร่,ถนนรพช. ภก. 2012 (บ้านเกาะสิเหร่-บ้านแหลมตุ๊กแก)
419,MU BAN ANUPHAT MANOROM,หมู่บ้านอนุภาษมโนรมย์,ถนนวิรัชหงษ์หยก
420,MUEANG PHUKET THETSABAN SCHOOL,โรงเรียนเทศบาลเมืองภูเก็ต,ถนนพูลผล
421,THAVORN GRAND PLAZA HOTEL,โรงแรมถาวรแกรนด์พลาซ่า,ถนนติลกอุทิศ 2
422,MUSJID YA MIA,มัสยิดยาเมี๊ยะ,ถนนตะกั่วป่า
423,SHELL SERVICE STATION,สถานีบริการน้ำมันเชลล์,ถนนเจ้าฟ้า
424,ASSUMPTION CHURCH (CATHOLIC),วัดแม่พระรับเกียรติยกขึ้นสวรรค์,ถนนตะกั่วป่า
425,PTT SERVICE STATION,สถานีบริการน้ำมันปตท.,ถนนพูลผล
426,PURE MANSION HOTEL,โรงแรมเพียวแมนชั่น,ถนนเจ้าฟ้า
427,ROME PLACE HOTEL,โรงแรมโรมเพลส,ถนนภูเก็ต
428,SHELL SERVICE STATION,สถานีบริการน้ำมันเชลล์,ถนนเจ้าฟ้า
429,KO SAWAN HOTEL,โรงแรมเกาะสวรรค์,ถนนพูลผล
430,P.S.A. HOTEL,โรงแรมพี.เอส.เอ,ถนนตะกั่วป่า
431,CHRISTIAN CHURCH THAKRENG PHUKET,คริสตจักรท่าแครงภูเก็ต,ถนนเจ้าฟ้า
432,SILVER HOTEL PHUKET,โรงแรมซิลเวอร์ภูเก็ต,ถนนตะกั่วป่า
433,PACIFIC INN,โรงแรมแปซิฟิคอินน์,ถนนภูเก็ต
434,PHUKET RUAM PHAET HOSPITAL,โรงพยาบาลภูเก็ตรวมแพทย์,ถนนภูเก็ต
435,THAI INTER HOTEL,โรงแรมไทยอินเตอร์,ถนนตะกั่วป่า
436,PHUKET INN,โรงแรมภูเก็ตอินน์,ถนนตะกั่วป่า
437,SOMPHOT MEDICAL HOSPITAL,โรงพยาบาลแพทย์สมพจน์,ถนนพูลผล
438,WAT THAWON KHUNARAM (WAT SAEN SUK),วัดถาวรคุณาราม (วัดแสนสุข),ถนนอ๋องซิมผ่าย
439,P.S. INN HOTEL,โรงแรมพี.เอส. อินน์,ถนนอ๋องซิมผ่าย
440,PHUKET LEGAL EXECUTION OFFICE,สำนักงานบังคับคดีจังหวัดภูเก็ต,ถนนพูลผล
441,BAN TALAD NUA SCHOOL,โรงเรียนบ้านตลาดเหนือ (วันครู 2502),ถนนเจ้าฟ้า
442,"PHUKET PROVINCIAL POLICE STATION, SUAN LUANG CHALOEM PHRA KIAT RAMA 9 POLICE BOX",สถานีตำรวจภูธรอำเภอเมืองภูเก็ตตู้ยามสวนหลวงเฉลิมพระเกียรติร. 9,ถนนเจ้าฟ้า
443,MU BAN PATONG HILL,หมู่บ้านป่าตองฮิลล์,ทางหลวงแผ่นดินหมายเลข 4233
444,MERLIN BEACH RESORT,โรงแรมเมอร์ลินบีชรีสอร์ท,ถนนทวีวงค์
445,MINERAL RESOURCES CENTER 2,สำนักงานทรัพยากรธรณีเขต 2,ถนนเจ้าฟ้า
446,MINERAL RESOURCES CENTER 2,สำนักงานทรัพยากรธรณีเขต 2,ถนนเจ้าฟ้า
447,BAN BAN NIO THETSABAN SCHOOL,โรงเรียนเทศบาลบ้านบางเหนียว,ซอยต้นโพธิ์
448,PHUKET PROVINCIAL PUBLIC WORKS OFFICE,สำนักงานโยธาธิการจังหวัดภูเก็ต,ถนนพูลผล
449,PHUKET PROTECTION LABOUR AND WELFARE OFFICE,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดภูเก็ต,ถนนรัตนโกสินทร์ 200 ปี
450,PHUKET RATSADA PIER,ท่าเทียบเรือรัษฎาภูเก็ต,ถนนรพช. ภก. 4099 (ท่าเรือใหม่-สถานีวิทยุประมงชายฝั่ง)
451,PEEP INN MOTEL,โรงแรมปิ๊บอินโมเต็ล,ถนนรัตนโกสินทร์ 200 ปี
452,PHUKET COMMERCIAL REGISTRATION OFFICE,สำนักงานทะเบียนการค้าจังหวัดภูเก็ต,ถนนรัตนโกสินทร์ 200 ปี
453,"REMAND HOME SECTION (FEMALE),OBSERVATION AND PROTECTION CENTER OF PHUKET",สถานแรกรับเด็กและเยาวชนหญิงจังหวัดภูเก็ต,ถนนรัตนโกสินทร์ 200 ปี
454,MU BAN PHAN YAMON,หมู่บ้านพรรณยมล,ซอยวิชิตน้อมเกล้า
455,PHUKET OBSERVATION AND PROTECTION CENTER,สถานพินิจคุ้มครองเด็กและเยาวชนจังหวัดภูเก็ต,ถนนรัตนโกสินทร์ 200 ปี
456,PHUKET PROVINCIAL OFFICE OF STATE ATTORNEY,สำนักงานอัยการจังหวัดภูเก็ต,ถนนรัตนโกสินทร์ 200 ปี
457,"REMAND HOME SECTION,OBSERVATION AND PROTECTION CENTER OF PHUKET",สถานแรกรับเด็กและเยาวชนชายจังหวัดภูเก็ต,ถนนรัตนโกสินทร์ 200 ปี
458,PHUKET CUSTOMS HOUSE,ด่านศุลกากรภูเก็ต,ถนนภูเก็ต
459,S.T. HOTEL,โรงแรมเอส.ที.,ถนนศักดิเดชน์
460,OFFICE OF REGINAL CUSTOMS SUPERVISOR REGION 5,สำนักงานศุลกากรภาคที่ 5,ถนนภูเก็ต
461,PHUKET POLYTECHNIC COLLAGE,วิทยาลัยสารพัดช่างภูเก็ต,ถนนรัตนโกสินทร์ 200 ปี
462,MANGROVE FOREST CONSERVATIVE AND RESEARCH STATION 1,สถานีวิจัยและอนุรักษ์ป่าชายเลนที่ 1,ถนนรัตนโกสินทร์ 200 ปี
463,PHUKET PROVINCIAL FORESTRY OFFICE,สำนักงานป่าไม้จังหวัดภูเก็ต,ถนนภูเก็ต
464,PRINCE OF SONCKLA UNIVERSITY,มหาวิทยาลัยสงขลานครินทร์,ถนนภูเก็ต
465,MU BAN CHAO FA,หมู่บ้านเจ้าฟ้า,ถนนเจ้าฟ้า
466,PHUKET IMMIGRATION OFFICE,ด่านตรวจคนเข้าเมืองจังหวัดภูเก็ต,ถนนภูเก็ต
467,PHUKET VOCATIONAL COLLEGE,วิทยาลัยอาชีวศึกษาภูเก็ต,ถนนภูเก็ต
468,"JUVENILLE AND FAMILY SECTION,CHANGWAT COURT OF PHUKET",ศาลจังหวัดภูเก็ตแผนกคดีเยาวชนและครอบครัว,ถนนภูเก็ต
469,"OFFICE OF AGRICULTURAL ECONOMICAL ECONOMIC,AGRICULTURAL DISTRICT 23",สำนักงานเศรษฐกิจการเกษตรเขตเกษตรเศรษฐกิจที่ 23,ถนนรัตนโกสินทร์ 200 ปี
470,DAO RUNG WITTHAYA SCHOOL,โรงเรียนดาวรุ่งวิทยา,ถนนเจ้าฟ้า
471,MU BAN PHUKET VILLA 5,หมู่บ้านภูเก็ตวิลล่า 5,ทางหลวงแผ่นดินหมายเลข 4022
472,MU BAN PHUKET VILLA 2,หมู่บ้านภูเก็ตวิลล่า 2,ทางหลวงแผ่นดินหมายเลข 4022
473,LAEM TUKKAE,แหลมตุ๊กแก, 
474,MU BAN PAISAN,หมู่บ้านไพศาล,ถนนเจ้าฟ้า
475,CHALOEM PHRA KIAT SOMDET PHRA SRI NAGARINDRA SCHOOL PHUKET,โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ภูเก็ต,ถนนรัตนโกสินทร์ 200 ปี
476,MU BAN RATCHADA NAKHON,หมู่บ้านรัชฎานคร,ถนนเทพอนุสรณ์
477,TOR SONG SEANG HOTEL,โรงแรมต. ทรงแสง,ถนนเจ้าฟ้า
478,MU BAN THINNAWUT 2,หมู่บ้านธินวุฒิ 2,ทางหลวงแผ่นดินหมายเลข 4022
479,MERIDIEN PHUKET,โรงแรมเมริเดียนภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4233
480,MU BAN SAPHAN HIN,หมู่บ้านสะพานหิน,ถนนรัตนโกสินทร์ 200 ปี
481,MU BAN ROMKLAO,หมู่บ้านร่มเกล้า,ถนนศักดิเดชน์-วิชิตน้อมเกล้า
482,MU BAN THINNAWUT 3,หมู่บ้านธินวุฒิ 3,ทางหลวงแผ่นดินหมายเลข 4022
483,MU BAN THANTONG VILLA 5,หมู่บ้านธารทองวิลล่า 5,ถนนศักดิเดชน์-วิชิตน้อมเกล้า
484,MU BAN CHAO FA KARON VILLE,หมู่บ้านเจ้าฟ้ากรนวิลล์,ทางหลวงแผ่นดินหมายเลข 4022
485,MU BAN BUN SIRI,หมู่บ้านบุญศิริ,ถนนเทพอนุสรณ์
486,KARON BEACH,หาดกะรน,ทางหลวงแผ่นดินหมายเลข 4233
487,MU BAN NET THIP,หมู่บ้านเนตรทิพย์,ถนนศักดิเดชน์
488,MU BAN PHUKET VILLA CALIFORNIA,หมู่บ้านภูเก็ตวิลล่าแคลิฟอร์เนีย,ถนนเทพอนุสรณ์
489,WAT THEP NIMIT SCHOOL,โรงเรียนวัดเทพนิมิตร,ทางหลวงแผ่นดินหมายเลข 4023
490,MU BAN THEP NIMIT,หมู่บ้านเทพนิมิตร,ทางหลวงแผ่นดินหมายเลข 4023
491,MU BAN CHAO FA THANI,หมู่บ้านเจ้าฟ้าธานี,ถนนมั่งมีศรีสุข
492,MU BAN THAN THONG 1,หมู่บ้านธารทอง 1,ทางหลวงแผ่นดินหมายเลข 4023
493,WAT THEP NIMIT,วัดเทพนิมิตร,ทางหลวงแผ่นดินหมายเลข 4023
494,PTT SERVICE STATION,สถานีบริการน้ำมันปตท.,ทางหลวงแผ่นดินหมายเลข 4023
495,MU BAN KANDA,หมู่บ้านกาญดา,ทางหลวงแผ่นดินหมายเลข 4023
496,MU BAN PHUKET MUEANG THONG 1,หมู่บ้านภูเก็ตเมืองทอง 1,ถนนโยธาธิการ ภก. 2009 (บ้านนาร้าง-บ้านบ่อแร่)
497,MU BAN THAN THONG 2,หมู่บ้านธารทอง 2,ถนนโยธาธิการ ภก. 2009 (บ้านนาร้าง-บ้านบ่อแร่)
498,MU BAN PHUKET VILLA 3,หมู่บ้านภูเก็ตวิลล่า 3,ทางหลวงแผ่นดินหมายเลข 4023
499,MU BAN RATTANA,หมู่บ้านรัตนา,ถนนโยธาธิการ ภก. 2009 (บ้านนาร้าง-บ้านบ่อแร่)
500,MU BAN LAEM THONG,หมู่บ้านแหลมทอง,ถนนโยธาธิการ ภก. 2009 (บ้านนาร้าง-บ้านบ่อแร่)
501,MU BAN CHAO LE,หมู่บ้านชาวเล, 
502,WAT MAI,วัดใหม่,ถนนโยธาธิการ ภก. (บ้านฉลอง)
503,MU BAN WONG SIRI,หมู่บ้านวงศ์สิริ,ทางหลวงแผ่นดินหมายเลข 4023
504,MU BAN PHUKET VILLA 3,หมู่บ้านภูเก็ตวิลล่า 3,ทางหลวงแผ่นดินหมายเลข 4023
505,FELIX KARON PHUKET HOTEL,โรงแรมเฟลิกซ์กะรนภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4233
506,BAN NA BON SCHOOL,โรงเรียนบ้านนาบอน,ทางหลวงแผ่นดินหมายเลข 4023
507,MU BAN SUAN MUEANGTHONG,หมู่บ้านสวนเมืองทอง,ถนนโยธาธิการ ภก. 2009 (บ้านนาร้าง-บ้านบ่อแร่)
508,MU BAN HOK HUAT,หมู่บ้านฮกฮวด,ทางหลวงแผ่นดินหมายเลข 4023
509,PHUKET OCEAN RESORT HOTEL,โรงแรมภูเก็ตโอเชี่ยนรีสอร์ท,ทางหลวงแผ่นดินหมายเลข 4233
510,MU BAN MUEANG THONG,หมู่บ้านเมืองทอง,ถนนโยธาธิการ ภก. 2009 (บ้านนาร้าง-บ้านบ่อแร่)
511,PHUKET GOLDEN SAND INN,โรงแรมภูเก็ตโกลเด้นแซนด์อินน์,ทางหลวงแผ่นดินหมายเลข 4233
512,THE ISLANDIA PARK RESORT,โรงแรมดิไอแลนด์เดียปาร์ครีสอร์ท,ทางหลวงแผ่นดินหมายเลข 4233
513,SOUTHLAND INN,เซ้าท์แลนด์อินน์,ทางหลวงแผ่นดินหมายเลข 4028
514,MU BAN IRAWADI 2,หมู่บ้านอิราวดี 2,ถนนโยธาธิการ ภก. 2009 (บ้านนาร้าง-บ้านบ่อแร่)
515,THE ISLANDIA PARK RESORT,โรงแรมดิไอแลนด์เดียปาร์ครีสอร์ท,ทางหลวงแผ่นดินหมายเลข 4028
516,BANCHALONG SCHOOL,โรงเรียนบ้านฉลอง,ทางหลวงแผ่นดินหมายเลข 4021
517,MU BAN THAN THONG,หมู่บ้านธารทอง,ถนนโยธาธิการ ภก. 2009 (บ้านนาร้าง-บ้านบ่อแร่)
518,SUWAN KHIRI KHET SCHOOL,โรงเรียนสุวรรณคีรีเขต,ทางหลวงแผ่นดินหมายเลข 4028
519,CRYSTAL BEACH HOTEL,โรงแรมคริสตัลบีชโฮเต็ล,ทางหลวงแผ่นดินหมายเลข 4028
520,WAT SUWAN KHIRI KHET,วัดสุวรรณคีรีเขต,ทางหลวงแผ่นดินหมายเลข 4028
521,MU BAN IRAWADI 1,หมู่บ้านอิราวดี 1,ถนนรพช. ภก. 3082 (บ้านบ่อแร่)
522,MU BAN CHOM VIEW,หมู่บ้านชมวิว,ถนนโยธาธิการ ภก. 2009 (บ้านนาร้าง-บ้านบ่อแร่)
523,MU BAN KHARUEHAT THANI,หมู่บ้านคฤหาสน์ธานี,ทางหลวงแผ่นดินหมายเลข 4023
524,CHALONG TEMPLE,วัดไชยธาราราม (วัดฉลอง),ถนนรพช. ภก. 4006 (บ้านนาใหญ่-บ้านฉลอง)
525,MU BAN SUK SABAI,หมู่บ้านสุขสบาย,ซอยนานาชาติ
526,KARON ROYAL WING,โรงแรมกะรนรอยัลวิงก์,ทางหลวงแผ่นดินหมายเลข 4028
527,MU BAN SUK SABAI,หมู่บ้านสุขสบาย,ซอยนานาชาติ
528,KARON VILLA PHUKET,โรงแรมกะรนวิลล่าภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4028
529,MU BAN PARICHART,หมู่บ้านปาริชาติ,ถนนรพช. ภก. 4006 (บ้านนาใหญ่-บ้านฉลอง)
530,MU BAN NAM SAI,หมู่บ้านน้ำใส,ถนนโยธาธิการ ภก. 2009 (บ้านนาร้าง-บ้านบ่อแร่)
531,MUSJID KIYAMUDDEEN,มัสยิดกียามุตดีน,ถนนโยธาธิการ ภก. 2009 (บ้านนาร้าง-บ้านบ่อแร่)
532,PTT SERVICE STATION,สถานีบริการน้ำมันปตท.,ทางหลวงแผ่นดินหมายเลข 4021
533,BAN AO NAM BO SCHOOL,โรงเรียนบ้านอ่าวน้ำบ่อ,ทางหลวงแผ่นดินหมายเลข 4023
534,MU BAN LADAWAN 1,หมู่บ้านลดาวัลย์ 1,ถนนรพช. ภก. 4006 (บ้านนาใหญ่-บ้านฉลอง)
535,MU BAN LADAWAN 2,หมู่บ้านลดาวัลย์ 2,ถนนรพช. ภก. 4006 (บ้านนาใหญ่-บ้านฉลอง)
536,MU BAN NUNTAWAN 2,หมู่บ้านนันทวัน 2,ถนนรพช. ภก. 4006 (บ้านนาใหญ่-บ้านฉลอง)
537,MU BAN CHAIYAPRUERK,หมู่บ้านชัยพฤกษ์,ทางหลวงแผ่นดินหมายเลข 4021
538,MU BAN PHUKET COUNTRY HOME,หมู่บ้านภูเก็ตคันทรีโฮม,ถนนรพช. ภก. 4006 (บ้านนาใหญ่-บ้านฉลอง)
539,MU BAN SEE WALEE,หมู่บ้านสีวลี,ถนนรพช. ภก. 4006 (บ้านนาใหญ่-บ้านฉลอง)
540,PHUKET ARCADIA HOTEL&RESORT,โรงแรมภูเก็ตอาเคเดียรีสอร์ท,ทางหลวงแผ่นดินหมายเลข 4233
541,MU BAN NUNTAWAN 1,หมู่บ้านนันทวัน 1,ถนนรพช. ภก. 4006 (บ้านนาใหญ่-บ้านฉลอง)
542,MU BAN MUNTANA,หมู่บ้านมัณฑนา,ทางหลวงแผ่นดินหมายเลข 4021
543,KARON SOUTHERN HOTEL,โรงแรมกะรนเซาท์เทิร์น,ทางหลวงแผ่นดินหมายเลข 4028
544,MU BAN CHOK THIP VILLA,หมู่บ้านโชคทิพย์วิลล่า,ถนนธนูเทพ
545,WAT LATTHI  WANARAM,วัดลัฏฐิวนาราม,ทางหลวงแผ่นดินหมายเลข 4023
546,AGENGE CONSULARE DE FRANCE,สถานกงศุลของประเทศฝรั่งเศล, 
547,WAT LADTHIWANARAM,โรงเรียนวัดลัฏฐิวนาราม,ทางหลวงแผ่นดินหมายเลข 4023
548,KO TA PHAO NOI,เกาะตะเภาน้อย, 
549,PHUKET ISLAND VIEW,โรงแรมภูเก็ตไอแลนด์วิว,ทางหลวงแผ่นดินหมายเลข 4233
550,HOTEL RUAM THEP INN,โรงแรมรวมเทพอินน์,ทางหลวงแผ่นดินหมายเลข 4233
551,MU BAN CHALONG SUK,หมู่บ้านฉลองสุข,ทางหลวงแผ่นดินหมายเลข 4021
552,MARINA COTTAGE,โรงแรมมารีน่าคอทเทจ,ทางหลวงแผ่นดินหมายเลข 4233
553,MUSJID IT CHA TUN ISLAM AO MAKHAM,มัสยิดอิชช่าตุ้ลอิสลามอ่าวมะขาม,ทางหลวงแผ่นดินหมายเลข 4023
554,PTT SERVICE STATION,สถานีบริการน้ำมันปตท.,ทางหลวงแผ่นดินหมายเลข 4028
555,DINO PARK MINI GOLF,ไดโนปาร์ค,ทางหลวงแผ่นดินหมายเลข 4233
556,KO TA PHAO YAI,เกาะตะเภาใหญ่, 
557,S.P. INN,โรงแรมเอส.พี. อินน์,ทางหลวงแผ่นดินหมายเลข 4233
558,POST&TELEGRAPH OFFICE,ที่ทำการไปรษณีย์โทรเลขกะรน,ทางหลวงแผ่นดินหมายเลข 4028
559,MU BAN THEP NIMIT,หมู่บ้านเทพนิมิตร,ทางหลวงแผ่นดินหมายเลข 4023
560,ROSE INN,โรงแรมโรสอินน์,ถนนท้ายนา
561,SMILE INN HOTEL,โรงแรมสมายอินน์,ทางหลวงแผ่นดินหมายเลข 4233
562,SUCHIRA THANI HOTEL,โรงแรมศุจิระธานี,ทางหลวงแผ่นดินหมายเลข 4023
563,WHITE HOUSE INN,ไว้ท์เฮ้าส์อินน์,ถนนปากบาง
564,PEACH HILL HOTEL,โรงแรมพีชฮิลล์โฮเต็ล,ถนนปากบาง
565,ESSO SERVICE STATION,สถานีบริการน้ำมันเอสโซ่,ทางหลวงแผ่นดินหมายเลข 4023
566,PHUKET FISHING LODGE,โรงแรมภูเก็ตฟิชชิ่งลอดจ,ทางหลวงแผ่นดินหมายเลข 4023
567,SHELL SERVICE STATION,สถานีบริการน้ำมันเชลล์,ทางหลวงแผ่นดินหมายเลข 4028
568,TAMBON CHALONG PROVINCIAL POLICE STATION,สถานีตำรวจภูธรตำบลฉลอง,ทางหลวงแผ่นดินหมายเลข 4023
569,BAN SAFARI,บ้านช้างซาฟารี,ทางหลวงแผ่นดินหมายเลข 4028
570,RHUNGNAPA HOTEL,โรงแรมรุ่งนภา,ทางหลวงแผ่นดินหมายเลข 4028
571,CLUB MEDITERRANEE,โรงแรมคลับเมดิแตร์ราเน,ถนนปากบาง
572,WAT KITTI SANGKHARAM (WAT KATA),วัดกิตติสังฆาราม (วัดกะตะ),ทางหลวงแผ่นดินหมายเลข 4028
573,5 TH REGIONAL HARBOUR MASTER OFFICE,สำนักงานเจ้าท่าภูมิภาคที่ 5,ทางหลวงแผ่นดินหมายเลข 4023
574,PORT OF PHUKET,ท่าเรือภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4023
575,KO PU,เกาะปู, 
576,BANKATA SCHOOL,โรงเรียนบ้านกะตะ,ทางหลวงแผ่นดินหมายเลข 4028
577,POST&TELEGRAPH OFFICE,ที่ทำการไปรษณีย์โทรเลขราไวย์,ทางหลวงแผ่นดินหมายเลข 4024
578,MUEANG PHUKET SCHOOL,โรงเรียนเมืองภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4024
579,MU BAN ISLAND HOME,หมู่บ้านไอส์แลนด์โฮม,ถนนรพช. ภก. 3025 (บ้านบางคณฑี)
580,KATA BEACH RESORT,โรงแรมกะตะบีชรีสอร์ท,ถนนปากบาง
581,MUSJID NURON ISLA MIYA,มัสยิดนูรนอิสลามียะฮ์,ทางหลวงแผ่นดินหมายเลข 4129
582,LAEM PHANWA SCHOOL,โรงเรียนแหลมพันวา,ทางหลวงแผ่นดินหมายเลข 4129
583,THE BOATHOUSE INN&RESTAURANT,โรงแรมเดอะโบ๊ทเฮาส์อินน์,ทางหลวงแผ่นดินหมายเลข 4233
584,FLAMINGO,โรงแรมฟลามิงโก,ทางหลวงแผ่นดินหมายเลข 4233
585,TROPICAL GARDEN RESORT,โรงแรมทรอปิคอลการ์เด้นรีสอร์ท,ทางหลวงแผ่นดินหมายเลข 4233
586,MU BAN WANIT BAY FRONT VILLE,หมู่บ้านวานิชเบย์ฟรอนท์วิลล์,ทางหลวงแผ่นดินหมายเลข 4129
587,MASJIDNURUDDEENIYAH,มัสยิดนูรุดดีนียะห์,ทางหลวงแผ่นดินหมายเลข 4024
588,THE PANWABURI,เดอะปันวบุรี,ทางหลวงแผ่นดินหมายเลข 4129
589,MUSYID AOWALULHEDAYAH,มัสยิดเอ้าวาลุ้ลฮีดายะห์,ทางหลวงแผ่นดินหมายเลข 4024
590,KATATHANI HOTEL,โรงแรมกะตะธานี,ถนนกะตะน้อย
591,PHUKET FORESTRY PROTECTION COORDINATION UNIT,หน่วยประสานงานป้องกันรักษาป่าประจำจังหวัดภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4233
592,BANGCHAK SERVICE STATION,สถานีบริการน้ำมันบางจาก,ทางหลวงแผ่นดินหมายเลข 4024
593,KATA BEACH,หาดกะตะ,ถนนกะตะน้อย
594,HOTEL CAPE PANWA,โรงแรมเคปพันวา,ทางหลวงแผ่นดินหมายเลข 4129
595,ISLAMPHATTANA SCHOOL,โรงเรียนอิสลามพัฒนา,ทางหลวงแผ่นดินหมายเลข 4129
596,THE BAY HOTEL,โรงแรมเดอะเบย์,ทางหลวงแผ่นดินหมายเลข 4129
597,KATA THANI HOTEL,โรงแรมกะตะธานี,ถนนกะตะน้อย
598,KATANOI CLUB HOTEL,โรงแรมกะตะน้อยคลับ,ถนนกะตะน้อย
599,PHUKET AQUARIUM,สถานแสดงพันธุ์สัตว์น้ำภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4129
600,MU BAN RAWAI,หมู่บ้านราไวย์,ทางหลวงแผ่นดินหมายเลข 4024
601,LAEM PHAN WA,แหลมพันวา, 
602,PHUKET MARINE BIOLOGICAL CENTER,สถาบันวิจัยชีววิทยาและประมงทะเล, 
603,MU BAN PHUKET-RAWAI,หมู่บ้านภูเก็ต-ราไวย์,ทางหลวงแผ่นดินหมายเลข 4024
604,VIEW POINT,ลานชมทิวทัศน์,ทางหลวงแผ่นดินหมายเลข 4233
605,NOORUL-IBADAH MOSQUE,มัสยิดนูร่นอิบาดะห์,ถนนโยธาธิการ ภก. 2004 (ใยสวน-กะตะ)
606,KO LON,เกาะโหลน, 
607,MU BAN TAN KHU,หมู่บ้านตาลคู่,ทางหลวงแผ่นดินหมายเลข 4024
608,MU BAN HAPPY HOME,หมู่บ้านแฮปปี้โฮม,ทางหลวงแผ่นดินหมายเลข 4024
609,LAEM KA,แหลมกา, 
610,MU BAN NAIHAN VILLA,หมู่บ้านในหารวิลล่า,ทางหลวงแผ่นดินหมายเลข 4233
611,RAWAI BAY SHORE HOTEL,โรงแรมราไวย์,ทางหลวงแผ่นดินหมายเลข 4024
612,WAT SAWANG AROM,วัดสว่างอารมณ์,ทางหลวงแผ่นดินหมายเลข 4024
613,WAT SAWANG AROM SCHOOL,โรงเรียนวัดสว่างอารมณ์,ทางหลวงแผ่นดินหมายเลข 4024
614,LE ROYAL MERLDIEN PHUKET,โรงแรมมิลลิเดี้ยลภูเก็ตยอช์ท, 
615,NAIHAN BEACH,หาดในหาน,ถนนรพช. ภก. 4091 (บ้านในหาน)
616,PTT SERVICE STATION,สถานีบริการน้ำมันปตท.,ทางหลวงแผ่นดินหมายเลข 4024
617,RAWAI BEACH,หาดราไว,ทางหลวงแผ่นดินหมายเลข 4024
618,RAWAI BEACH,หาดราไวย์,ทางหลวงแผ่นดินหมายเลข 4024
619,KO MAN,เกาะมัน, 
620,LAEM PHROM THEP,แหลมพรหมเทพ,ทางหลวงแผ่นดินหมายเลข 4233
621,KO BON,เกาะบอน, 
622,KO MAI THON,เกาะไม้ท่อน, 
623,KO RA CHA YAI,เกาะราชาใหญ่, 
624,KO RA CHA LEK,เกาะราชาเล็ก, 
625,KO KAEW YAI,เกาะแก้วใหญ่, 
626,KO HEI,เกาะเฮ, 
627,PHUKET AIRPORT TELEPHONE SERVICE OFFICE,สำนักงานบริการโทรศัพท์สนามบินจังหวัดภูเก็ต,(กำลังก่อสร้าง)
628,THEP KASATTRI PWA,การประปาเทพกระษัตรี,ถนนโยธาธิการ ภก. 3004 (น้ำตกโตนไทร)
629,THALANG TELEPHONE SERVICE OFFICE,สำนักงานบริการโทรศัพท์ถลาง,ทางหลวงแผ่นดินหมายเลข 4030
630,AMPHOE THALANG PEA,การไฟฟ้าส่วนภูมิภาคอำเภอถลาง,ทางหลวงแผ่นดินหมายเลข 402
631,"THALANG SUB STATION,PEA",สถานีไฟฟ้าถลางการไฟฟ้าส่วนภูมิภาค,ทางหลวงแผ่นดินหมายเลข 402
632,"PHUKET DIESEL POWER PLANT,PEA",การไฟฟ้าส่วนภูมิภาค โรงไฟฟ้าดีเซลจังหวัดภูเก็ต,ทางหลวงแผ่นดินหมายเลข 402
633,BAN PA TONG PROVINCIAL PWA,การประปาส่วนภูมิภาคบ้านป่าตอง,ซอยพระบารมี 7
634,PA TONG TELEPHONE SERVICE OFFICE,สำนักงานบริการโทรศัพท์ป่าตอง,ถนนไสน้ำเย็น
635,PHUKET PWA OFFICE,สำนักงานการประปาภูเก็ต, 
636,PHUKET PEA,การไฟฟ้าส่วนภูมิภาคจังหวัดภูเก็ต,ถนนถลาง
637,PHUKET TELEPHONE SERVICE OFFICE,สำนักงานบริการโทรศัพท์ภูเก็ต,ถนนพังงา
638,BAN LAEM TUKKAE PWA,การประปาบ้านแหลมตุ๊กแก,ถนนรพช. ภก. 2012 (บ้านเกาะสิเหร่-บ้านแหลมตุ๊กแก)
639,"EGAT,PHUKET TERMINAL SUBSTATION 2",การไฟฟ้าฝ่ายผลิตแห่งประเทศไทยสถานีไฟฟ้าแรงสูงภูเก็ต 2,ทางหลวงแผ่นดินหมายเลข 4021
640,"PHUKET SUBSTATION,PEA",การไฟฟ้าส่วนภูมิภาคสถานีไฟฟ้าภูเก็ต 2,ทางหลวงแผ่นดินหมายเลข 4021
641,PROMTHEP ALTERNATIVE ENERGY STATION,สถานีพลังทดแทนพรหมเทพการไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,ทางหลวงแผ่นดินหมายเลข 4233
642,PHUKET AIR TRAFFIC CONTROL CENTRE,ศูนย์ควบคุมการบินภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4026
643,E.T.O. PHUKET,องค์การรับส่งสินค้าและพัสดุภัณฑ์ภูเก็ต,ซอยวิชิตธานี
644,TELECOMMUNICATION OFFICE,ที่ทำการสื่อสารโทรคมนาคมป่าตอง, 
645,OFFSHORE MINING ORGANIZATION,องค์การเหมืองแร่ในทะเล,ถนนสุทัศน์
